Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Kms_per_Year
ritz,2014.0,3.35,5.59,27000,Petrol,Dealer,Manual,0,,
sx4,2013.0,4.75,9.54,43000,Diesel,Dealer,Manual,0,,
ciaz,2017.0,7.25,9.85,6900,Petrol,Dealer,Manual,0,,
wagon r,2011.0,2.85,4.15,5200,Petrol,Dealer,Manual,0,,
swift,2014.0,4.6,6.87,42450,Diesel,Dealer,Manual,0,,
vitara brezza,2018.0,9.25,9.83,2071,Diesel,Dealer,Manual,0,,
ciaz,2015.0,6.75,8.12,18796,Petrol,Dealer,Manual,0,,
s cross,2015.0,6.5,8.61,33429,Diesel,Dealer,Manual,0,,
ciaz,2016.0,8.75,8.89,20273,Diesel,Dealer,Manual,0,,
ciaz,2015.0,7.45,8.92,42367,Diesel,Dealer,Manual,0,,
alto 800,2017.0,2.85,3.6,2135,Petrol,Dealer,Manual,0,,
ciaz,2015.0,6.85,10.38,51000,Diesel,Dealer,Manual,0,,
ciaz,2015.0,7.5,9.94,15000,Petrol,Dealer,Automatic,0,,
ertiga,2015.0,6.1,7.71,26000,Petrol,Dealer,Manual,0,,
dzire,2009.0,2.25,7.21,77427,Petrol,Dealer,Manual,0,,
ertiga,2016.0,7.75,10.79,43000,Diesel,Dealer,Manual,0,,
ertiga,2015.0,7.25,10.79,41678,Diesel,Dealer,Manual,0,,
ertiga,2016.0,7.75,10.79,43000,Diesel,Dealer,Manual,0,,
wagon r,2015.0,3.25,5.09,35500,CNG,Dealer,Manual,0,,
sx4,2010.0,2.65,7.98,41442,Petrol,Dealer,Manual,0,,
alto k10,2016.0,2.85,3.95,25000,Petrol,Dealer,Manual,0,,
ignis,2017.0,4.9,5.71,2400,Petrol,Dealer,Manual,0,,
sx4,2011.0,4.4,8.01,50000,Petrol,Dealer,Automatic,0,,
alto k10,2014.0,2.5,3.46,45280,Petrol,Dealer,Manual,0,,
wagon r,2013.0,2.9,4.41,56879,Petrol,Dealer,Manual,0,,
swift,2011.0,3.0,4.99,20000,Petrol,Dealer,Manual,0,,
swift,2013.0,4.15,5.87,55138,Petrol,Dealer,Manual,0,,
swift,2017.0,6.0,6.49,16200,Petrol,Individual,Manual,0,,
alto k10,2010.0,1.95,3.95,44542,Petrol,Dealer,Manual,0,,
ciaz,2015.0,7.45,10.38,45000,Diesel,Dealer,Manual,0,,
ritz,2012.0,3.1,5.98,51439,Diesel,Dealer,Manual,0,,
ritz,2011.0,2.35,4.89,54200,Petrol,Dealer,Manual,0,,
swift,2014.0,4.95,7.49,39000,Diesel,Dealer,Manual,0,,
ertiga,2014.0,6.0,9.95,45000,Diesel,Dealer,Manual,0,,
dzire,2014.0,5.5,8.06,45000,Diesel,Dealer,Manual,0,,
sx4,2011.0,2.95,7.74,49998,CNG,Dealer,Manual,0,,
dzire,2015.0,4.65,7.2,48767,Petrol,Dealer,Manual,0,,
800,2003.0,0.35,2.28,127000,Petrol,Individual,Manual,0,,
alto k10,2016.0,3.0,3.76,10079,Petrol,Dealer,Manual,0,,
sx4,2003.0,2.25,7.98,62000,Petrol,Dealer,Manual,0,,
baleno,2016.0,5.85,7.87,24524,Petrol,Dealer,Automatic,0,,
alto k10,2014.0,2.55,3.98,46706,Petrol,Dealer,Manual,0,,
sx4,2008.0,1.95,7.15,58000,Petrol,Dealer,Manual,0,,
dzire,2014.0,5.5,8.06,45780,Diesel,Dealer,Manual,0,,
omni,2012.0,1.25,2.69,50000,Petrol,Dealer,Manual,0,,
ciaz,2014.0,7.5,12.04,15000,Petrol,Dealer,Automatic,0,,
ritz,2013.0,2.65,4.89,64532,Petrol,Dealer,Manual,0,,
wagon r,2006.0,1.05,4.15,65000,Petrol,Dealer,Manual,0,,
ertiga,2015.0,5.8,7.71,25870,Petrol,Dealer,Manual,0,,
ciaz,2017.0,7.75,9.29,37000,Petrol,Dealer,Automatic,0,,
fortuner,2012.0,14.9,30.61,104707,Diesel,Dealer,Automatic,0,,
fortuner,2015.0,23.0,30.61,40000,Diesel,Dealer,Automatic,0,,
innova,2017.0,18.0,19.77,15000,Diesel,Dealer,Automatic,0,,
fortuner,2013.0,16.0,30.61,135000,Diesel,Individual,Automatic,0,,
innova,2005.0,2.75,10.21,90000,Petrol,Individual,Manual,0,,
corolla altis,2009.0,3.6,15.04,70000,Petrol,Dealer,Automatic,0,,
etios cross,2015.0,4.5,7.27,40534,Petrol,Dealer,Manual,0,,
corolla altis,2010.0,4.75,18.54,50000,Petrol,Dealer,Manual,0,,
etios g,2014.0,4.1,6.8,39485,Petrol,Dealer,Manual,1,,
fortuner,2014.0,19.99,35.96,41000,Diesel,Dealer,Automatic,0,,
corolla altis,2013.0,6.95,18.61,40001,Petrol,Dealer,Manual,0,,
etios cross,2015.0,4.5,7.7,40588,Petrol,Dealer,Manual,0,,
fortuner,2014.0,18.75,35.96,78000,Diesel,Dealer,Automatic,0,,
fortuner,2015.0,23.5,35.96,47000,Diesel,Dealer,Automatic,0,,
fortuner,2017.0,33.0,36.23,6000,Diesel,Dealer,Automatic,0,,
etios liva,2014.0,4.75,6.95,45000,Diesel,Dealer,Manual,0,,
innova,2017.0,19.75,23.15,11000,Petrol,Dealer,Automatic,0,,
fortuner,2010.0,9.25,20.45,59000,Diesel,Dealer,Manual,0,,
corolla altis,2011.0,4.35,13.74,88000,Petrol,Dealer,Manual,0,,
corolla altis,2016.0,14.25,20.91,12000,Petrol,Dealer,Manual,0,,
etios liva,2014.0,3.95,6.76,71000,Diesel,Dealer,Manual,0,,
corolla altis,2011.0,4.5,12.48,45000,Diesel,Dealer,Manual,0,,
corolla altis,2013.0,7.45,18.61,56001,Petrol,Dealer,Manual,0,,
etios liva,2011.0,2.65,5.71,43000,Petrol,Dealer,Manual,0,,
